
 OUTPUT FROM bailey_pset7_problem2.m 

 Finding Eigenvectors and Eigenvalues Using Shifted Power Method 
 Using x same as the initial guess vector. 
Iter.    x(1)      x(2)          x(3)          x(4)        x(n-3)      x(n-2)      x(n-1)        x(n)        lambda       check
100 +6.11110e-01 -3.52322e-01 -3.67291e-02 +2.46934e-02 +2.46934e-02 -3.67291e-02 -3.52322e-01 +6.11110e-01 +8.71974e-04 +2.89093e-04 
101 -6.10334e-01 +3.53741e-01 +3.56534e-02 -2.52357e-02 -2.52357e-02 +3.56534e-02 +3.53741e-01 -6.10334e-01 +8.70319e-04 +2.87224e-04 
102 +6.09560e-01 -3.55145e-01 -3.45752e-02 +2.57692e-02 +2.57692e-02 -3.45752e-02 -3.55145e-01 +6.09560e-01 +8.68685e-04 +2.85383e-04 
103 -6.08790e-01 +3.56533e-01 +3.34949e-02 -2.62941e-02 -2.62941e-02 +3.34949e-02 +3.56533e-01 -6.08790e-01 +8.67071e-04 +2.83569e-04 
104 +6.08023e-01 -3.57907e-01 -3.24126e-02 +2.68105e-02 +2.68105e-02 -3.24126e-02 -3.57907e-01 +6.08023e-01 +8.65478e-04 +2.81781e-04 
105 -6.07259e-01 +3.59265e-01 +3.13284e-02 -2.73182e-02 -2.73182e-02 +3.13284e-02 +3.59265e-01 -6.07259e-01 +8.63905e-04 +2.80020e-04 
106 +6.06497e-01 -3.60609e-01 -3.02424e-02 +2.78175e-02 +2.78175e-02 -3.02424e-02 -3.60609e-01 +6.06497e-01 +8.62352e-04 +2.78283e-04 
107 -6.05739e-01 +3.61938e-01 +2.91548e-02 -2.83083e-02 -2.83083e-02 +2.91548e-02 +3.61938e-01 -6.05739e-01 +8.60818e-04 +2.76571e-04 
108 +6.04984e-01 -3.63252e-01 -2.80657e-02 +2.87907e-02 +2.87907e-02 -2.80657e-02 -3.63252e-01 +6.04984e-01 +8.59303e-04 +2.74882e-04 
109 -6.04231e-01 +3.64553e-01 +2.69752e-02 -2.92648e-02 -2.92648e-02 +2.69752e-02 +3.64553e-01 -6.04231e-01 +8.57806e-04 +2.73218e-04 
110 +6.03482e-01 -3.65840e-01 -2.58835e-02 +2.97307e-02 +2.97307e-02 -2.58835e-02 -3.65840e-01 +6.03482e-01 +8.56327e-04 +2.71576e-04 
111 -6.02735e-01 +3.67113e-01 +2.47907e-02 -3.01883e-02 -3.01883e-02 +2.47907e-02 +3.67113e-01 -6.02735e-01 +8.54866e-04 +2.69956e-04 
112 +6.01991e-01 -3.68372e-01 -2.36969e-02 +3.06377e-02 +3.06377e-02 -2.36969e-02 -3.68372e-01 +6.01991e-01 +8.53422e-04 +2.68358e-04 
113 -6.01250e-01 +3.69619e-01 +2.26022e-02 -3.10790e-02 -3.10790e-02 +2.26022e-02 +3.69619e-01 -6.01250e-01 +8.51995e-04 +2.66782e-04 
114 +6.00511e-01 -3.70852e-01 -2.15067e-02 +3.15123e-02 +3.15123e-02 -2.15067e-02 -3.70852e-01 +6.00511e-01 +8.50585e-04 +2.65226e-04 
115 -5.99776e-01 +3.72072e-01 +2.04105e-02 -3.19375e-02 -3.19375e-02 +2.04105e-02 +3.72072e-01 -5.99776e-01 +8.49192e-04 +2.63691e-04 
116 +5.99043e-01 -3.73280e-01 -1.93137e-02 +3.23549e-02 +3.23549e-02 -1.93137e-02 -3.73280e-01 +5.99043e-01 +8.47814e-04 +2.62176e-04 
117 -5.98313e-01 +3.74475e-01 +1.82165e-02 -3.27643e-02 -3.27643e-02 +1.82165e-02 +3.74475e-01 -5.98313e-01 +8.46453e-04 +2.60681e-04 
118 +5.97586e-01 -3.75658e-01 -1.71189e-02 +3.31659e-02 +3.31659e-02 -1.71189e-02 -3.75658e-01 +5.97586e-01 +8.45106e-04 +2.59205e-04 
